"108年0050 元大台灣50       月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"108","1","76.70","72.00","74.51","79,210","14,472,883,165","194,214,907","20.10",
"108","2","77.80","74.85","76.65","51,289","11,082,482,992","144,582,214","15.27",
"108","3","79.70","75.70","77.51","54,227","14,211,490,738","183,328,766","21.19",
"108","4","83.55","79.60","81.92","56,593","14,003,322,298","170,931,722","21.16",
"108","5","83.80","76.30","79.67","124,916","24,681,562,216","309,766,876","38.45",
"108","6","81.60","77.45","79.99","72,280","13,752,358,467","171,919,475","10.10",
"108","7","83.90","81.35","82.81","54,653","11,379,196,094","137,406,809","9.09",
"108","8","82.55","78.50","80.31","89,442","16,025,467,181","199,544,130","13.99",
"108","9","85.20","81.20","83.74","63,672","14,478,474,080","172,881,804","22.13",
"108","10","90.60","84.30","87.53","46,112","10,071,416,563","115,055,711","16.41",
"108","11","93.60","89.75","92.28","39,594","6,598,887,621","71,502,073","9.72",
"108","12","98.30","91.40","95.81","42,882","7,276,402,632","75,944,637","11.05",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

