"98年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"98","1","34.87","30.01","32.26","63,556","9,197,962,583","285,103,939","22.84",
"98","2","33.38","30.38","32.35","59,253","11,065,150,345","342,000,937","27.17",
"98","3","38.38","31.30","35.28","78,513","19,948,496,510","565,284,388","40.58",
"98","4","42.15","36.91","39.79","61,601","18,442,915,545","463,489,722","37.21",
"98","5","48.14","43.63","45.83","61,475","16,330,049,481","356,293,798","29.71",
"98","6","48.65","42.40","45.00","54,277","16,048,055,817","356,588,675","30.29",
"98","7","49.94","44.45","47.28","43,941","11,303,095,262","239,018,115","17.91",
"98","8","50.10","47.01","48.45","30,951","9,708,217,572","200,346,916","18.90",
"98","9","55.00","48.45","52.20","40,617","15,345,426,926","293,960,548","29.78",
"98","10","55.15","50.60","53.37","37,293","11,802,978,396","221,150,551","23.61",
"98","11","55.20","50.60","52.98","33,107","9,531,341,543","179,893,709","18.58",
"98","12","56.45","52.35","54.20","28,878","11,972,454,023","220,864,107","23.22",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

