"96年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"96","1","58.95","56.15","57.69","12,288","7,698,944,010","133,451,130","19.03",
"96","2","58.20","56.55","57.46","5,735","4,070,231,649","70,827,140","9.44",
"96","3","57.45","53.05","55.51","20,456","7,205,060,608","129,780,238","16.87",
"96","4","58.55","56.30","57.66","10,778","6,600,822,361","114,468,940","16.43",
"96","5","60.25","56.90","59.05","8,210","5,050,752,410","85,528,494","12.61",
"96","6","66.35","59.75","63.45","9,201","6,118,479,298","96,423,988","12.98",
"96","7","69.85","64.20","67.48","17,178","16,608,748,999","246,127,722","46.88",
"96","8","66.10","58.20","63.51","29,047","18,192,214,784","286,435,829","69.60",
"96","9","69.50","64.50","66.74","11,863","4,749,820,817","71,159,402","18.15",
"96","10","72.30","67.70","70.48","19,837","9,217,007,788","130,757,303","40.60",
"96","11","70.70","59.65","63.44","37,552","12,134,932,036","191,277,496","43.82",
"96","12","63.70","56.05","59.76","33,936","9,210,392,927","154,111,745","30.76",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

