"104年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"104","1","69.25","64.70","67.53","42,593","20,331,258,211","301,051,005","27.79",
"104","2","70.90","67.90","69.45","20,222","9,296,424,590","133,842,939","12.65",
"104","3","70.90","68.30","69.58","31,568","11,305,952,076","162,469,692","16.44",
"104","4","73.30","68.40","70.50","39,003","14,636,633,741","207,611,162","21.02",
"104","5","71.90","69.70","70.71","30,538","10,842,246,590","153,333,807","15.37",
"104","6","71.15","68.00","69.03","40,519","13,470,999,389","195,140,364","10.97",
"104","7","70.30","65.10","67.31","58,417","19,889,148,508","295,443,361","18.71",
"104","8","66.05","55.40","61.58","89,939","25,332,032,776","411,323,192","31.93",
"104","9","65.15","60.95","62.76","52,301","12,308,503,293","196,092,860","15.38",
"104","10","66.50","62.20","64.93","42,387","12,879,655,183","198,355,706","16.13",
"104","11","65.65","60.45","62.51","56,388","13,796,388,451","220,685,173","17.37",
"104","12","63.00","59.00","61.02","50,676","11,723,300,347","192,117,767","14.54",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

