"107年0050 元大台灣50       月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"107","1","88.40","82.15","85.23","41,398","9,592,954,110","112,549,751","23.15",
"107","2","85.50","78.00","80.80","45,268","9,274,334,675","114,774,522","22.30",
"107","3","84.95","80.45","82.89","38,153","8,543,330,823","103,061,802","20.03",
"107","4","83.15","78.80","80.34","52,582","10,369,840,785","129,069,702","22.13",
"107","5","82.60","78.35","81.00","48,894","9,334,999,079","115,243,954","19.12",
"107","6","83.60","79.80","81.33","49,104","9,651,962,578","118,662,141","12.19",
"107","7","85.90","80.20","83.40","51,504","12,618,358,687","151,297,129","18.08",
"107","8","88.35","83.05","85.57","39,440","8,777,596,740","102,576,053","14.04",
"107","9","87.65","84.90","86.22","67,343","15,184,059,346","176,103,675","30.52",
"107","10","87.40","74.50","79.60","163,575","35,050,178,678","440,310,531","54.62",
"107","11","79.40","74.85","77.18","54,734","14,729,851,728","190,845,689","21.86",
"107","12","79.00","73.30","75.44","84,537","13,341,160,862","176,828,857","18.88",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

