"102年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"102","1","55.05","53.20","54.24","44,622","13,818,990,058","254,760,513","15.01",
"102","2","56.20","54.60","55.46","30,152","11,485,028,577","207,080,923","13.09",
"102","3","56.10","54.15","55.14","33,203","8,896,787,711","161,341,574","10.72",
"102","4","56.55","53.45","55.02","42,636","9,447,426,763","171,686,952","11.60",
"102","5","58.90","56.35","57.72","44,914","14,252,900,000","246,909,097","17.69",
"102","6","56.80","52.95","54.60","61,426","14,448,692,301","264,621,298","18.45",
"102","7","57.75","54.80","56.53","51,557","13,329,505,222","235,778,042","15.96",
"102","8","57.00","53.85","55.04","66,930","16,483,691,268","299,437,585","19.72",
"102","9","58.15","55.90","57.16","47,510","15,307,504,056","267,796,465","17.86",
"102","10","59.15","56.85","58.12","41,985","11,786,510,492","202,791,359","14.83",
"102","11","58.10","55.40","56.39","59,224","12,442,901,810","220,649,718","14.92",
"102","12","59.05","56.70","57.81","37,671","8,852,409,505","153,112,797","11.00",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

