"97年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"97","1","61.55","53.40","57.06","52,923","14,286,381,115","250,360,116","45.97",
"97","2","61.10","54.70","58.41","23,006","7,456,210,261","127,631,795","25.22",
"97","3","65.85","56.65","60.80","62,520","24,197,317,325","397,980,137","62.37",
"97","4","65.15","60.05","63.08","47,971","18,035,954,168","285,902,729","44.32",
"97","5","65.65","61.45","63.35","43,611","15,180,450,778","239,615,987","36.38",
"97","6","63.00","54.70","58.65","47,006","14,733,301,303","251,206,184","28.13",
"97","7","55.85","49.41","52.72","75,234","20,261,157,073","384,308,892","34.35",
"97","8","55.90","51.20","53.65","58,559","16,616,091,601","309,711,417","29.42",
"97","9","53.25","43.34","47.92","118,934","24,701,703,433","515,394,222","45.54",
"97","10","45.72","29.10","37.61","103,659","17,077,586,013","453,982,866","41.68",
"97","11","37.29","28.53","32.37","97,902","12,847,309,105","396,869,576","33.39",
"97","12","34.23","29.95","32.53","111,163","14,539,379,035","446,886,771","37.64",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

