"105年0050 元大台灣50       月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"105","1","60.95","55.60","57.39","116,458","20,922,220,656","364,554,841","26.03",
"105","2","61.70","58.10","60.43","39,226","8,529,831,676","141,140,811","10.56",
"105","3","65.40","61.10","63.65","69,343","26,607,870,308","418,026,284","35.92",
"105","4","64.65","61.35","63.06","36,753","8,255,403,724","130,911,896","11.78",
"105","5","63.35","59.00","60.77","70,261","20,401,223,523","335,666,706","27.93",
"105","6","65.55","62.05","64.34","52,855","20,877,912,545","324,488,873","26.32",
"105","7","69.95","64.70","68.05","53,301","19,964,947,022","293,374,477","37.23",
"105","8","70.60","68.05","69.61","30,401","11,771,580,629","169,089,666","20.11",
"105","9","72.15","68.20","70.44","29,894","8,878,430,088","126,037,216","19.01",
"105","10","73.50","70.60","72.14","18,323","7,254,965,707","100,559,651","17.00",
"105","11","73.05","69.45","70.84","31,994","8,463,415,062","119,471,472","19.60",
"105","12","73.55","70.35","71.90","22,204","5,239,089,541","72,862,499","12.25",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

