"93年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"93","1","49.51","45.92","48.29","10,860","5,820,854,120","120,517,000","13.69",
"93","2","50.60","47.20","48.89","9,897","5,002,083,790","102,297,000","12.19",
"93","3","53.70","44.50","50.21","19,995","13,382,600,910","266,515,000","28.93",
"93","4","52.20","45.80","49.90","12,327","7,614,345,670","152,580,000","16.63",
"93","5","47.10","41.02","44.60","20,335","6,184,358,830","138,642,000","14.53",
"93","6","46.00","41.81","43.74","16,871","4,724,383,690","108,010,000","10.76",
"93","7","45.05","40.90","42.58","16,238","4,343,993,340","102,013,000","9.75",
"93","8","46.00","41.18","43.43","15,017","4,149,262,000","95,522,000","8.99",
"93","9","46.82","44.46","45.80","11,363","5,612,384,470","122,527,000","12.23",
"93","10","47.76","43.81","46.22","12,931","5,803,165,020","125,548,000","13.07",
"93","11","47.96","44.16","46.62","17,629","9,260,528,680","198,613,000","22.14",
"93","12","48.56","45.21","47.00","13,916","7,408,608,430","157,600,000","18.13",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

