"115年02月 0050 元大台灣50       各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","註記",
"115/02/02","234,325,396","16,687,566,456","71.55","71.75","70.90","71.50","-1.10","332,048","",
"115/02/03","73,734,001","5,367,935,502","73.00","73.05","72.40","72.95","+1.45","60,314","",
"115/02/04","59,733,704","4,346,370,749","72.40","73.15","72.30","72.90","-0.05","55,518","",
"115/02/05","107,575,796","7,742,810,789","72.05","72.25","71.75","72.00","-0.90","175,926","",
"115/02/06","110,883,112","7,920,520,483","71.40","72.25","70.80","71.90","-0.10","134,413","",
"115/02/09","122,340,661","9,050,873,718","74.05","74.15","73.75","73.95","+2.05","81,342","",
"115/02/10","102,315,945","7,703,131,124","74.65","75.50","74.60","75.50","+1.55","80,773","",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"註記欄位有**者，表示該股票恢復買賣日價格因辦理變更面額因素與其最近一成交日價格有一定比例之轉換關係，或表示該ETF恢復買賣日價格因辦理分割或反分割作業因素與其最近一成交日價格有一定比例之轉換關係。"
"當日統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

