"109年0050 元大台灣50       月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"109","1","98.85","89.65","95.51","79,783","15,195,848,162","159,092,222","23.19",
"109","2","93.25","87.60","90.54","92,327","16,435,411,084","181,525,985","23.71",
"109","3","90.25","67.25","77.95","298,002","48,881,318,144","627,074,673","59.43",
"109","4","85.50","75.75","81.03","131,928","22,247,814,465","274,530,989","26.87",
"109","5","85.40","82.15","83.77","89,898","13,616,849,424","162,541,289","15.77",
"109","6","90.85","84.40","88.40","104,949","19,753,913,506","223,451,453","16.78",
"109","7","108.70","89.95","97.85","149,652","28,871,832,717","295,036,652","25.81",
"109","8","105.95","98.70","103.65","78,434","12,783,936,079","123,334,823","11.95",
"109","9","107.00","100.05","102.99","77,560","14,814,853,917","143,841,993","15.25",
"109","10","107.70","102.70","105.39","76,264","10,497,695,711","99,602,070","10.59",
"109","11","115.95","102.30","110.77","120,613","15,841,668,024","143,012,988","14.43",
"109","12","122.40","113.35","118.14","113,776","15,518,022,408","131,351,140","13.89",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

