"101年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"101","1","52.40","48.94","50.59","60,908","16,711,833,683","330,331,159","16.31",
"101","2","56.00","52.00","54.06","70,642","28,048,888,446","518,817,479","31.39",
"101","3","56.20","54.00","55.13","42,956","15,276,690,255","277,054,375","18.43",
"101","4","54.90","51.65","53.02","34,640","11,874,597,720","223,922,950","14.34",
"101","5","53.35","48.85","50.70","61,790","17,810,060,756","351,268,922","19.67",
"101","6","50.50","47.45","48.96","53,343","9,986,863,908","203,976,639","10.36",
"101","7","51.75","48.51","50.01","53,697","11,350,102,309","226,915,752","11.30",
"101","8","53.80","50.55","52.79","42,799","11,480,203,402","217,450,215","12.14",
"101","9","55.80","51.90","54.67","40,234","13,057,632,904","238,815,684","14.46",
"101","10","55.35","49.87","52.58","56,162","16,076,669,943","305,734,797","16.99",
"101","11","53.70","49.50","51.17","62,658","12,959,558,344","253,217,812","13.81",
"101","12","54.80","52.40","53.66","41,545","12,709,217,470","236,806,778","13.55",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

