"111年0050 元大台灣50       月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"111","1","152.40","141.05","146.51","286,947","36,992,155,960","252,487,891","21.02",
"111","2","145.05","137.85","141.56","298,348","25,658,748,438","181,253,773","13.50",
"111","3","140.80","131.00","134.85","543,792","45,290,348,348","335,853,042","21.40",
"111","4","136.95","125.95","131.22","445,126","35,323,898,322","269,187,707","15.88",
"111","5","129.80","121.20","125.13","306,129","22,696,148,787","181,375,777","10.37",
"111","6","130.05","115.50","121.49","339,920","27,561,942,735","226,861,253","11.18",
"111","7","118.50","108.45","113.53","363,199","37,394,775,488","329,356,067","15.75",
"111","8","122.30","115.10","118.67","279,328","26,350,554,252","222,041,585","10.45",
"111","9","116.40","103.00","110.91","432,175","28,400,264,484","256,057,227","12.15",
"111","10","108.00","96.50","100.45","375,136","28,996,068,234","288,658,052","12.76",
"111","11","116.95","97.50","109.84","289,018","35,453,048,060","322,750,136","14.03",
"111","12","119.50","108.40","113.58","266,558","24,279,914,672","213,756,335","9.26",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

