"99年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"99","1","58.15","52.20","55.76","40,178","16,394,292,808","293,981,080","34.48",
"99","2","53.20","50.30","51.78","29,365","10,275,945,847","198,448,715","21.55",
"99","3","54.55","51.50","53.46","31,442","13,524,376,177","252,956,700","28.51",
"99","4","55.95","53.65","54.98","26,026","10,326,589,368","187,818,102","19.99",
"99","5","54.85","48.65","51.34","47,773","15,169,670,840","295,447,114","31.46",
"99","6","52.00","47.95","50.11","32,242","7,851,084,605","156,662,911","16.18",
"99","7","54.15","49.01","52.56","29,087","11,030,717,146","209,860,667","21.01",
"99","8","55.70","53.15","54.67","25,112","9,435,712,862","172,565,515","19.20",
"99","9","58.15","53.35","56.36","25,167","11,082,037,958","196,625,990","22.36",
"99","10","58.10","55.10","56.85","26,132","12,005,052,512","211,167,823","23.50",
"99","11","57.85","56.05","57.09","22,095","10,054,075,571","176,095,025","18.98",
"99","12","61.40","57.10","59.75","32,669","16,547,808,825","276,924,947","33.06",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

