"113年0050 元大台灣50       月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"113","1","136.65","127.30","132.97","313,866","39,737,423,402","298,826,320","13.80",
"113","2","144.20","133.60","140.99","194,451","27,129,965,629","192,423,211","9.17",
"113","3","159.20","142.80","152.94","294,437","44,372,888,998","290,125,219","15.28",
"113","4","163.35","149.50","156.46","305,090","27,322,366,758","174,626,154","9.15",
"113","5","173.40","156.00","165.52","252,188","28,002,255,020","169,169,904","8.77",
"113","6","189.75","166.15","180.12","293,745","36,855,413,655","204,608,382","9.19",
"113","7","202.80","177.10","189.26","503,287","55,022,177,319","290,719,313","13.57",
"113","8","185.20","158.40","174.26","535,590","73,573,874,358","422,187,160","19.38",
"113","9","191.25","170.00","179.31","364,937","42,587,949,757","237,506,419","10.87",
"113","10","200.20","183.00","193.28","332,004","50,943,692,692","263,571,177","12.45",
"113","11","200.00","184.50","192.13","441,810","53,089,759,684","276,319,190","12.50",
"113","12","199.10","188.50","195.63","303,486","34,975,919,570","178,783,497","8.04",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

