"103年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"103","1","58.85","57.40","58.09","43,504","10,202,853,400","175,627,508","13.13",
"103","2","58.50","55.60","57.25","54,061","14,244,809,143","248,777,538","18.57",
"103","3","60.15","57.50","59.18","46,384","15,601,730,741","263,621,560","21.58",
"103","4","62.05","60.20","61.00","28,008","14,490,632,623","237,523,289","22.83",
"103","5","63.80","61.00","62.19","20,715","10,890,728,210","175,111,073","17.81",
"103","6","66.00","62.80","64.51","18,325","7,873,361,052","122,032,115","9.02",
"103","7","69.05","65.85","67.62","24,892","9,009,589,854","133,219,493","9.89",
"103","8","69.45","65.05","66.74","31,091","9,189,309,569","137,667,759","12.21",
"103","9","69.95","64.65","67.24","49,211","21,743,333,024","323,366,696","30.84",
"103","10","66.70","62.80","64.67","52,262","18,443,625,260","285,181,416","26.59",
"103","11","67.85","64.70","66.03","38,186","18,222,718,788","275,950,789","25.01",
"103","12","67.45","63.40","65.84","47,877","16,460,455,404","249,981,284","22.18",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

