"110年0050 元大台灣50       月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"110","1","143.25","122.00","133.85","261,424","36,479,640,756","272,528,991","30.11",
"110","2","141.25","127.55","136.00","176,256","20,790,567,330","152,867,877","16.44",
"110","3","136.05","129.50","133.29","236,511","25,150,605,667","188,681,103","19.30",
"110","4","142.00","135.20","138.74","136,095","18,310,772,723","131,975,204","13.43",
"110","5","140.40","121.20","131.67","327,023","39,465,574,425","299,716,332","24.11",
"110","6","139.35","134.50","137.06","152,545","18,103,428,628","132,077,926","9.54",
"110","7","141.85","133.75","137.89","241,559","29,311,824,547","212,573,089","15.84",
"110","8","140.35","130.20","135.85","249,017","30,379,500,830","223,622,530","16.51",
"110","9","143.50","135.20","139.21","207,107","30,546,312,930","219,420,650","17.81",
"110","10","137.80","130.90","134.61","268,183","32,819,629,266","243,805,388","18.73",
"110","11","143.55","136.15","139.91","181,082","22,761,819,987","162,686,943","13.07",
"110","12","146.15","138.05","142.86","147,317","25,273,079,755","176,898,537","14.63",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

