"92年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"92","6","37.40","36.92","37.04","2,047","367,884,760","9,930,000","8.56",
"92","7","42.00","37.09","40.05","30,369","9,303,258,430","232,262,000","249.74",
"92","8","44.92","39.68","42.47","14,190","5,220,132,640","122,885,000","26.65",
"92","9","46.59","44.20","45.24","12,343","4,135,135,800","91,391,000","13.97",
"92","10","49.00","44.06","47.15","10,848","7,062,085,500","149,771,000","19.81",
"92","11","48.77","45.00","46.82","9,500","3,907,373,150","83,451,000","10.31",
"92","12","46.79","44.90","45.80","8,062","4,123,567,710","90,031,000","10.48",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

