"94年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"94","1","48.58","45.11","46.50","13,311","4,749,493,220","102,126,000","11.43",
"94","2","49.00","46.91","48.06","10,716","6,565,949,230","136,605,000","15.74",
"94","3","48.95","46.11","47.55","12,207","7,736,918,840","162,708,000","18.76",
"94","4","46.92","43.90","45.60","9,473","4,794,368,730","105,137,000","11.37",
"94","5","47.37","44.60","46.14","9,121","4,807,850,080","104,200,000","11.00",
"94","6","48.45","45.00","47.24","10,964","9,505,965,200","201,222,000","21.88",
"94","7","49.50","46.81","48.50","8,258","7,339,523,323","151,324,002","18.01",
"94","8","49.85","46.52","48.22","8,942","6,683,377,960","138,589,000","16.54",
"94","9","48.03","45.80","46.92","8,960","5,477,069,750","116,717,000","13.56",
"94","10","48.00","43.93","45.66","11,802","5,196,947,830","113,796,000","12.83",
"94","11","49.05","45.40","47.85","12,488","8,122,505,590","169,740,000","21.37",
"94","12","51.60","48.50","50.28","9,183","8,458,669,670","168,221,000","23.54",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

