"112年0050 元大台灣50       月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"112","1","121.00","108.45","116.41","202,989","28,685,375,103","246,404,673","10.90",
"112","2","121.80","117.10","119.73","249,466","18,971,087,442","158,444,694","6.93",
"112","3","122.35","116.50","119.67","314,344","28,404,264,274","237,351,047","10.36",
"112","4","121.65","115.50","118.56","261,707","15,257,839,453","128,691,860","5.56",
"112","5","127.55","116.65","122.11","262,212","31,061,697,579","254,361,215","10.55",
"112","6","132.00","124.90","129.51","231,321","24,660,025,007","190,398,645","7.20",
"112","7","132.50","126.50","129.58","259,767","24,697,258,972","190,594,431","7.80",
"112","8","129.55","122.90","125.57","332,420","24,549,457,886","195,503,812","7.99",
"112","9","127.35","121.55","124.22","267,826","17,538,649,816","141,183,125","6.00",
"112","10","127.40","121.10","124.07","264,391","22,204,834,533","178,969,287","7.54",
"112","11","132.70","121.25","129.62","243,268","37,720,582,531","290,996,742","12.71",
"112","12","136.00","129.90","133.47","193,144","29,453,430,599","220,666,927","9.68",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

