"114年0050 元大台灣50       月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"114","1","206.00","193.25","198.24","327,690","42,282,228,066","213,286,099","9.55",
"114","2","198.65","190.65","194.76","762,308","66,033,481,093","339,041,655","13.93",
"114","3","189.50","172.20","182.97","1,130,224","76,343,940,983","417,239,417","15.41",
"114","4","177.35","145.00","159.51","1,084,629","85,064,998,883","533,263,376","17.87",
"114","5","183.85","169.35","177.17","473,034","51,682,613,256","291,706,115","9.64",
"114","6","188.90","46.28","60.57","969,760","66,405,867,756","1,096,243,079","8.22",
"114","7","51.60","48.21","50.10","1,056,537","84,129,694,385","1,679,155,533","12.92",
"114","8","53.40","50.40","52.22","1,233,173","81,055,030,638","1,551,896,375","12.27",
"114","9","58.95","51.75","55.84","1,225,089","80,015,744,812","1,432,865,740","11.29",
"114","10","64.80","57.90","61.90","1,834,550","144,558,531,321","2,334,991,495","16.93",
"114","11","64.85","59.45","61.66","2,726,106","154,896,066,095","2,511,872,262","16.49",
"114","12","65.85","61.40","63.11","1,499,192","111,721,460,857","1,770,078,795","11.44",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

