"85年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"85","1","86.00","74.00","77.02","21,406","5,162,325,185","67,019,175","4.65",
"85","2","82.50","74.50","79.34","17,379","4,720,285,643","59,487,791","4.13",
"85","3","79.50","64.00","73.15","30,834","7,236,582,636","98,927,432","6.87",
"85","4","106.00","74.50","92.26","78,290","27,132,528,390","294,085,858","20.43",
"85","5","105.50","56.00","68.89","99,811","23,283,721,599","337,965,841","23.48",
"85","6","65.50","55.00","59.63","79,524","15,679,915,905","262,935,169","9.90",
"85","7","58.50","49.10","52.83","77,157","14,162,345,261","268,042,105","10.09",
"85","8","56.50","50.50","53.52","48,676","9,852,351,686","184,063,927","6.93",
"85","9","57.00","52.00","54.51","67,009","13,383,584,153","245,495,369","9.24",
"85","10","56.00","52.00","53.76","41,135","7,702,826,722","143,273,533","5.39",
"85","11","62.50","54.00","58.18","124,879","26,000,357,387","446,865,153","16.83",
"85","12","61.00","56.00","57.52","41,277","8,256,439,831","143,528,002","5.40",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

