"103年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"103","1","108.50","100.50","104.86","171,297","67,081,342,587","639,684,424","2.46",
"103","2","108.50","100.50","104.94","176,572","74,400,483,464","708,923,723","2.73",
"103","3","118.50","106.50","113.12","224,346","107,180,932,817","947,475,730","3.65",
"103","4","123.00","116.50","119.81","183,102","88,370,379,080","737,569,653","2.84",
"103","5","124.00","116.00","120.48","150,522","77,628,820,369","644,308,667","2.48",
"103","6","127.00","120.00","123.99","132,316","70,048,014,308","564,932,022","2.17",
"103","7","138.00","121.00","128.06","282,632","141,796,331,322","1,107,191,972","4.27",
"103","8","126.00","119.00","122.63","171,964","87,528,527,093","713,711,841","2.75",
"103","9","128.50","119.00","123.79","157,272","70,984,229,814","573,420,856","2.21",
"103","10","130.50","118.00","124.68","220,392","117,870,447,678","945,364,929","3.64",
"103","11","142.00","130.50","135.20","178,546","89,693,941,430","663,413,738","2.55",
"103","12","142.00","130.00","136.52","201,048","110,382,863,600","808,510,410","3.11",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

