"94年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"94","1","52.50","46.20","48.85","162,708","45,975,954,667","941,041,582","4.04",
"94","2","55.50","52.00","53.83","124,712","46,988,388,592","872,891,109","3.75",
"94","3","54.90","49.80","51.89","124,805","44,972,081,783","866,674,815","3.72",
"94","4","53.00","49.10","51.15","103,182","38,415,625,152","750,926,086","3.22",
"94","5","57.10","52.20","55.11","154,936","50,271,886,837","912,074,470","3.92",
"94","6","58.50","53.50","56.49","173,302","63,176,348,518","1,118,357,061","4.80",
"94","7","57.80","52.80","55.33","166,966","54,879,568,910","991,711,812","4.01",
"94","8","56.10","51.10","52.97","152,890","44,174,241,716","833,929,314","3.37",
"94","9","54.10","50.50","52.53","137,550","42,002,896,333","799,462,036","3.23",
"94","10","54.80","48.70","51.65","156,715","43,737,124,794","846,788,320","3.42",
"94","11","60.20","51.80","56.62","209,072","62,448,011,857","1,102,921,970","4.46",
"94","12","64.30","59.30","62.13","154,217","170,629,708,683","2,745,937,544","11.10",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

