"112年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"112","1","543.00","443.00","503.89","620,224","295,818,406,287","587,061,398","2.26",
"112","2","546.00","505.00","528.52","689,581","309,306,651,656","585,222,538","2.25",
"112","3","539.00","504.00","521.62","553,866","301,284,346,249","577,588,001","2.22",
"112","4","535.00","489.00","510.55","558,359","209,545,888,337","410,428,309","1.58",
"112","5","574.00","494.50","537.09","745,122","393,524,810,874","732,697,640","2.82",
"112","6","594.00","550.00","575.03","537,092","310,727,384,109","540,361,738","2.08",
"112","7","591.00","557.00","573.20","551,359","264,023,369,502","460,611,696","1.77",
"112","8","569.00","534.00","550.22","558,741","266,301,238,063","483,988,753","1.86",
"112","9","558.00","516.00","537.48","688,974","247,845,669,660","461,116,932","1.77",
"112","10","556.00","519.00","539.91","528,730","298,270,775,104","552,436,073","2.13",
"112","11","585.00","527.00","569.36","549,865","330,825,818,397","581,045,322","2.24",
"112","12","593.00","566.00","579.92","501,007","352,850,926,043","608,441,970","2.34",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

