"95年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"95","1","68.40","60.00","63.77","163,009","56,013,956,777","878,278,492","3.55",
"95","2","66.50","60.30","62.35","130,477","42,810,896,647","686,529,139","2.77",
"95","3","64.80","58.90","61.20","193,329","61,707,191,439","1,008,130,295","4.07",
"95","4","70.00","63.80","67.34","160,643","53,610,121,069","796,081,456","3.21",
"95","5","69.90","59.30","63.83","204,150","66,356,641,441","1,039,465,135","4.20",
"95","6","62.90","54.20","58.10","233,952","65,899,599,249","1,134,191,383","4.58",
"95","7","59.30","52.30","55.36","172,871","46,873,757,189","846,619,300","3.27",
"95","8","60.30","54.40","57.28","163,463","46,295,919,105","808,192,068","3.12",
"95","9","61.10","56.20","59.19","159,002","44,081,468,639","744,634,954","2.88",
"95","10","65.20","58.50","61.80","165,344","49,429,287,897","799,787,419","3.09",
"95","11","65.50","59.90","62.21","165,261","55,663,037,499","894,642,121","3.46",
"95","12","68.00","63.40","65.88","142,938","46,627,995,094","707,742,438","2.74",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

