"101年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"101","1","79.50","74.60","76.75","157,948","57,576,676,807","750,142,069","2.89",
"101","2","81.10","75.60","78.02","219,910","76,026,048,510","974,418,338","3.75",
"101","3","86.50","78.30","82.57","216,612","68,147,224,921","825,271,858","3.18",
"101","4","89.80","81.50","84.61","178,564","63,642,658,096","752,132,403","2.90",
"101","5","89.00","78.10","83.48","244,948","79,140,387,237","947,974,136","3.65",
"101","6","81.70","76.10","79.32","213,143","69,513,671,857","876,352,668","3.38",
"101","7","84.90","73.80","78.02","292,950","90,060,262,655","1,154,227,493","4.45",
"101","8","83.90","79.20","81.97","176,416","60,999,749,940","744,129,328","2.87",
"101","9","89.80","81.00","85.38","184,296","63,528,575,816","744,015,493","2.87",
"101","10","91.30","84.50","87.60","206,242","69,977,887,531","798,788,914","3.08",
"101","11","98.80","87.70","92.54","203,792","78,075,749,635","843,673,987","3.25",
"101","12","99.40","94.60","96.90","199,360","67,416,756,457","695,679,193","2.68",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

