"99年02月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","註記",
" 99/02/01","82,234,872","4,934,428,435","60.70","60.70","59.50","59.80","-1.70","16,893","",
" 99/02/02","72,141,345","4,296,416,714","60.20","60.40","59.00","59.00","-0.80","15,211","",
" 99/02/03","42,627,861","2,534,155,240","60.20","60.30","58.80","59.80","+0.80","9,966","",
" 99/02/04","46,032,165","2,726,713,591","60.00","60.00","59.00","59.10","-0.70","11,819","",
" 99/02/05","66,295,018","3,811,514,312","57.60","57.90","57.20","57.20","-1.90","18,203","",
" 99/02/06","16,391,569","948,580,952","57.60","58.10","57.30","58.00","+0.80","5,867","",
" 99/02/08","45,835,431","2,635,605,686","58.00","58.20","57.00","57.40","-0.60","11,834","",
" 99/02/09","49,551,665","2,905,054,055","58.40","59.20","57.70","58.60","+1.20","10,807","",
" 99/02/10","53,809,831","3,156,970,629","59.00","59.20","58.20","58.40","-0.20","13,992","",
" 99/02/22","49,684,787","2,964,348,523","60.50","60.50","59.00","59.00","+0.60","15,040","",
" 99/02/23","52,030,754","3,098,100,688","59.60","59.90","59.10","59.80","+0.80","11,574","",
" 99/02/24","60,489,712","3,559,090,588","59.20","59.20","58.40","58.50","-1.30","13,513","",
" 99/02/25","57,502,162","3,357,159,422","58.50","58.90","57.90","58.20","-0.30","12,447","",
" 99/02/26","31,376,014","1,835,097,974","58.20","58.90","58.00","58.80","+0.60","8,183","",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"註記欄位有**者，表示該股票恢復買賣日價格因辦理變更面額因素與其最近一成交日價格有一定比例之轉換關係，或表示該ETF恢復買賣日價格因辦理分割或反分割作業因素與其最近一成交日價格有一定比例之轉換關係。"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

