"98年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"98","1","47.10","38.70","42.11","209,291","33,274,968,308","790,127,156","3.08",
"98","2","46.95","40.55","44.35","286,266","63,632,262,051","1,434,713,895","5.59",
"98","3","53.00","44.15","48.87","338,320","77,267,936,667","1,580,808,798","6.16",
"98","4","55.20","49.60","51.85","394,638","93,395,841,383","1,801,014,850","7.02",
"98","5","60.90","54.20","56.88","346,241","100,399,413,258","1,765,101,894","6.88",
"98","6","60.60","51.00","55.36","362,319","91,473,508,819","1,652,115,645","6.44",
"98","7","59.20","53.10","55.91","317,610","83,632,275,698","1,495,605,037","5.83",
"98","8","59.80","56.50","57.94","238,570","57,855,850,437","998,422,669","3.85",
"98","9","65.00","58.70","62.04","284,320","74,508,853,160","1,200,872,804","4.63",
"98","10","65.20","59.00","61.80","339,668","92,221,526,593","1,492,139,217","5.76",
"98","11","63.20","59.00","61.40","252,994","69,625,109,194","1,133,939,777","4.37",
"98","12","64.50","60.40","62.43","239,953","64,836,545,825","1,038,495,258","4.00",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

