"115年02月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","註記",
"115/02/02","33,342,359","58,467,099,660","1,750.00","1,765.00","1,745.00","1,765.00","-10.00","227,693","",
"115/02/03","30,386,718","54,587,495,232","1,810.00","1,810.00","1,785.00","1,800.00","+35.00","63,370","",
"115/02/04","29,087,857","51,994,350,134","1,785.00","1,805.00","1,775.00","1,785.00","-15.00","89,612","",
"115/02/05","28,974,303","51,204,573,629","1,765.00","1,780.00","1,760.00","1,765.00","-20.00","119,686","",
"115/02/06","36,484,181","64,250,417,914","1,745.00","1,780.00","1,740.00","1,780.00","+15.00","117,607","",
"115/02/09","40,350,444","73,691,322,355","1,830.00","1,835.00","1,815.00","1,815.00","+35.00","80,215","",
"115/02/10","45,674,475","85,190,057,142","1,845.00","1,880.00","1,840.00","1,880.00","+65.00","102,694","",
"115/02/11","40,308,000","76,918,295,000","1,880.00","1,925.00","1,875.00","1,915.00","+35.00","20,235","",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"註記欄位有**者，表示該股票恢復買賣日價格因辦理變更面額因素與其最近一成交日價格有一定比例之轉換關係，或表示該ETF恢復買賣日價格因辦理分割或反分割作業因素與其最近一成交日價格有一定比例之轉換關係。"
"當日統計資訊僅含一般交易，不含零股、盤後定價、鉅額、拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

