"111年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"111","1","688.00","618.00","651.46","986,699","641,117,242,583","984,110,328","3.79",
"111","2","650.00","600.00","628.20","772,186","386,353,511,318","615,010,872","2.37",
"111","3","610.00","555.00","581.77","2,128,926","624,016,661,530","1,072,611,290","4.13",
"111","4","589.00","523.00","557.08","1,481,451","380,048,872,779","682,213,343","2.63",
"111","5","560.00","505.00","528.98","931,699","348,378,138,346","658,580,130","2.53",
"111","6","555.00","476.00","509.44","1,181,606","344,973,696,508","677,151,063","2.61",
"111","7","510.00","433.00","472.79","990,110","366,999,321,005","776,227,390","2.99",
"111","8","527.00","488.50","507.47","672,030","286,835,780,958","565,224,782","2.17",
"111","9","495.50","422.00","465.08","1,108,292","307,722,222,592","661,649,308","2.55",
"111","10","451.00","370.00","401.36","1,354,293","413,666,447,056","1,030,660,938","3.97",
"111","11","498.00","378.50","453.73","1,085,172","477,711,192,722","1,052,833,025","4.06",
"111","12","508.00","442.50","472.45","803,910","313,588,797,399","663,747,023","2.55",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

