"90年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"90","1","105.50","77.50","94.26","215,817","71,439,166,937","757,870,865","6.48",
"90","2","105.50","88.50","95.84","175,458","56,117,655,617","585,474,298","5.00",
"90","3","93.00","83.00","87.70","169,641","47,556,833,591","542,241,983","4.63",
"90","4","91.50","78.50","86.27","176,273","44,146,820,784","511,688,323","4.37",
"90","5","97.00","87.50","93.40","130,213","47,835,837,350","512,135,506","4.38",
"90","6","99.00","61.00","83.33","130,668","39,927,652,443","479,144,611","4.09",
"90","7","68.00","56.00","62.47","147,288","40,393,094,009","646,575,459","5.53",
"90","8","71.00","60.00","65.13","196,214","56,244,285,943","863,467,608","7.38",
"90","9","66.00","44.10","53.30","121,283","29,887,860,848","560,713,591","4.79",
"90","10","67.00","43.60","56.37","206,215","57,212,153,320","1,014,873,510","8.68",
"90","11","79.50","60.50","71.80","289,626","89,730,674,980","1,249,563,748","10.68",
"90","12","90.00","75.00","84.05","346,889","103,968,513,463","1,236,942,713","10.58",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

