"100年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"100","1","78.30","69.60","74.30","263,999","100,578,274,926","1,353,616,348","5.22",
"100","2","77.00","69.90","72.54","235,159","74,985,055,548","1,033,654,452","3.98",
"100","3","72.20","65.70","69.74","276,434","88,459,924,495","1,268,289,393","4.89",
"100","4","73.90","68.00","71.37","211,611","70,177,023,098","983,177,475","3.79",
"100","5","76.90","73.00","74.96","213,185","74,005,599,560","987,256,484","3.80",
"100","6","78.20","70.40","74.70","260,507","96,761,306,205","1,295,262,736","4.99",
"100","7","73.90","68.50","71.59","238,386","73,569,965,426","1,027,567,656","3.96",
"100","8","72.80","62.20","66.61","305,409","84,617,942,159","1,270,302,342","4.90",
"100","9","72.10","65.90","69.11","266,720","74,225,030,814","1,073,997,108","4.14",
"100","10","74.00","68.10","70.70","181,361","59,947,670,693","847,821,278","3.27",
"100","11","76.00","71.30","74.03","197,579","65,432,526,407","883,753,804","3.41",
"100","12","76.80","72.00","75.00","179,107","53,687,756,290","715,808,271","2.76",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

