"99年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"99","1","65.10","59.40","62.35","246,073","63,521,867,004","1,018,778,395","3.93",
"99","2","60.70","57.00","58.90","175,349","42,763,236,809","726,003,186","2.80",
"99","3","62.40","58.20","60.48","239,172","68,515,310,593","1,132,674,886","4.37",
"99","4","64.90","60.80","62.73","232,668","66,483,673,030","1,059,833,257","4.09",
"99","5","62.60","57.70","59.58","223,022","58,807,894,047","986,920,329","3.80",
"99","6","63.70","58.30","60.97","203,939","55,297,657,502","906,871,508","3.50",
"99","7","63.10","58.80","60.90","221,366","65,440,758,161","1,074,543,627","4.14",
"99","8","62.80","58.40","60.19","210,085","59,586,624,864","989,842,612","3.82",
"99","9","62.30","58.70","60.54","216,148","62,241,241,708","1,028,026,363","3.96",
"99","10","63.10","60.10","61.62","186,820","49,992,575,221","811,235,554","3.13",
"99","11","64.70","63.00","63.80","212,107","53,565,229,091","839,469,474","3.24",
"99","12","75.00","63.80","69.76","303,578","104,408,359,226","1,496,631,849","5.77",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

