"97年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"97","1","62.00","49.60","55.89","329,392","85,759,909,570","1,534,355,327","5.80",
"97","2","63.60","59.70","61.22","148,218","54,171,938,058","884,779,927","3.34",
"97","3","69.30","59.50","63.36","265,857","88,628,126,315","1,398,676,690","5.45",
"97","4","67.50","61.80","65.07","229,898","70,452,791,687","1,082,655,829","4.22",
"97","5","69.80","64.50","67.57","207,507","97,733,008,612","1,446,189,981","5.64",
"97","6","68.90","62.60","65.31","207,162","96,570,238,511","1,478,558,503","5.76",
"97","7","65.10","53.20","58.54","241,244","78,037,509,362","1,332,847,892","5.20",
"97","8","62.20","55.00","59.00","180,512","90,830,014,991","1,539,327,784","5.88",
"97","9","57.60","49.80","53.82","294,452","86,620,228,162","1,609,310,994","6.20",
"97","10","54.00","36.50","45.64","303,885","67,365,164,588","1,475,921,892","5.69",
"97","11","49.50","36.40","41.80","281,354","51,433,535,661","1,230,277,069","4.74",
"97","12","46.10","36.50","41.98","293,369","54,155,944,994","1,289,940,558","5.03",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

