"89年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"89","1","211.00","170.00","187.22","254,324","155,064,908,186","828,239,471","10.79",
"89","2","222.00","190.00","206.57","131,589","79,355,622,125","384,151,612","5.00",
"89","3","214.00","172.00","195.26","212,608","129,792,485,616","664,694,763","8.66",
"89","4","213.00","173.00","191.88","240,018","119,890,846,344","624,805,896","8.14",
"89","5","196.00","140.50","163.76","224,810","99,548,838,748","607,862,047","7.92",
"89","6","162.00","140.50","151.30","157,835","64,238,602,150","424,560,986","4.24",
"89","7","150.00","124.00","136.89","172,545","72,082,621,241","526,535,163","4.50",
"89","8","140.50","121.00","132.29","147,017","62,023,710,040","468,819,074","4.01",
"89","9","135.00","99.50","116.60","166,550","67,318,194,483","577,333,003","4.93",
"89","10","112.00","81.50","99.33","291,677","105,066,492,439","1,057,749,010","9.04",
"89","11","122.50","87.00","103.14","336,516","107,570,018,917","1,042,949,008","8.92",
"89","12","94.00","74.50","85.34","175,727","44,558,125,452","522,077,280","4.46",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

