"93年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"93","1","68.50","63.50","66.63","109,234","37,436,924,559","561,784,329","2.77",
"93","2","66.50","61.50","63.33","157,804","48,333,580,752","763,135,921","3.76",
"93","3","68.50","55.00","61.38","316,589","100,265,190,875","1,633,406,925","8.05",
"93","4","64.50","56.50","61.31","242,110","68,512,575,373","1,117,364,050","5.51",
"93","5","59.50","51.50","55.58","209,276","57,334,565,668","1,031,414,005","5.08",
"93","6","57.00","42.30","47.80","239,815","52,556,805,560","1,099,344,471","5.42",
"93","7","48.80","40.70","43.41","221,769","47,637,169,442","1,097,328,048","4.69",
"93","8","48.80","42.40","45.44","171,415","43,210,173,533","950,736,353","4.06",
"93","9","47.50","42.50","44.67","190,750","41,702,588,523","933,429,376","3.99",
"93","10","45.50","41.30","43.49","172,845","38,083,206,977","875,597,648","3.76",
"93","11","51.00","43.50","47.79","282,482","73,770,724,788","1,543,358,708","6.63",
"93","12","51.50","46.20","49.04","166,331","51,842,667,976","1,057,116,715","4.54",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

