"110年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"110","1","679.00","528.00","609.49","1,855,197","936,557,410,400","1,536,622,546","5.92",
"110","2","668.00","587.00","634.25","1,039,029","566,327,873,555","892,901,846","3.44",
"110","3","622.00","570.00","596.75","1,675,880","695,226,033,098","1,165,012,086","4.49",
"110","4","619.00","590.00","604.58","800,909","380,084,594,112","628,665,570","2.42",
"110","5","600.00","518.00","571.07","1,337,366","526,777,464,725","922,432,701","3.55",
"110","6","609.00","578.00","595.19","614,277","331,568,615,495","557,079,870","2.14",
"110","7","615.00","573.00","590.31","793,638","369,320,821,596","625,629,902","2.41",
"110","8","614.00","551.00","584.34","744,953","384,054,158,018","657,235,969","2.53",
"110","9","638.00","575.00","605.69","680,639","366,531,246,025","605,141,861","2.33",
"110","10","604.00","560.00","584.13","569,062","286,905,182,960","491,163,633","1.89",
"110","11","623.00","585.00","603.64","451,553","329,958,610,979","546,612,820","2.10",
"110","12","620.00","594.00","605.89","393,200","297,534,133,949","491,063,060","1.89",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

