"84年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"84","1","158.00","136.00","144.43","11,296","4,738,317,444","32,806,349","4.20",
"84","2","162.00","142.00","153.84","11,791","4,504,088,345","29,275,944","3.75",
"84","3","189.00","148.00","168.36","25,617","11,287,555,188","67,042,062","8.59",
"84","4","192.00","168.00","180.55","30,269","14,303,324,038","79,219,903","10.15",
"84","5","190.00","161.00","180.05","30,698","13,682,111,922","75,989,876","9.74",
"84","6","196.00","97.50","128.97","75,050","27,609,773,608","214,074,283","27.44",
"84","7","123.50","97.00","113.07","76,428","23,430,294,645","207,214,977","14.39",
"84","8","110.00","94.00","101.47","64,011","18,621,293,137","183,498,920","12.75",
"84","9","115.00","95.00","107.07","36,125","11,157,717,033","104,201,796","7.24",
"84","10","99.50","84.00","93.41","28,465","7,225,213,402","77,341,195","5.37",
"84","11","89.00","77.00","82.70","23,086","5,339,576,720","64,564,924","4.48",
"84","12","87.00","81.00","83.94","19,434","5,181,039,539","61,721,502","4.28",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

