"102年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"102","1","102.00","97.10","100.18","196,848","77,157,104,108","770,176,271","2.97",
"102","2","109.50","100.50","105.13","115,374","49,879,517,452","474,443,065","1.83",
"102","3","105.00","98.00","101.57","188,204","85,098,915,714","837,823,608","3.23",
"102","4","109.50","97.50","103.08","183,075","77,098,522,621","747,877,114","2.88",
"102","5","116.50","108.00","112.20","167,438","70,585,750,670","629,058,507","2.42",
"102","6","111.00","100.00","105.62","172,088","77,064,408,382","729,569,698","2.81",
"102","7","110.00","96.90","103.95","265,729","111,166,452,936","1,069,354,143","4.12",
"102","8","103.00","92.90","96.95","232,654","81,228,438,800","837,812,494","3.23",
"102","9","106.00","99.60","103.04","161,710","66,264,654,869","643,049,795","2.48",
"102","10","111.50","100.50","107.15","163,841","69,562,041,761","649,183,475","2.50",
"102","11","110.50","100.00","103.98","162,139","64,094,794,293","616,375,166","2.37",
"102","12","106.00","101.00","103.60","135,539","58,732,808,751","566,914,187","2.18",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

