"109年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"109","1","346.00","316.50","331.99","323,528","240,339,682,350","723,936,416","2.79",
"109","2","338.00","312.00","324.28","322,994","237,300,556,984","731,761,072","2.82",
"109","3","326.00","235.50","281.61","887,694","536,983,876,749","1,906,813,004","7.35",
"109","4","309.00","270.00","291.52","454,932","275,890,107,677","946,367,569","3.64",
"109","5","301.50","288.50","294.46","402,532","262,285,936,061","890,720,889","3.43",
"109","6","327.00","293.50","312.21","428,707","281,858,245,386","902,775,975","3.48",
"109","7","466.50","314.00","383.15","777,471","562,628,983,157","1,468,403,011","5.66",
"109","8","453.50","401.00","429.51","537,103","430,026,102,999","1,001,180,932","3.86",
"109","9","462.00","421.00","435.99","504,296","418,523,640,763","959,918,823","3.70",
"109","10","465.00","431.50","449.38","486,598","333,443,013,806","741,996,408","2.86",
"109","11","506.00","428.00","474.23","700,680","487,214,611,543","1,027,361,779","3.96",
"109","12","530.00","483.50","509.86","671,678","434,073,913,125","851,356,904","3.28",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

