"86年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"86","1","59.00","55.50","56.88","52,373","10,144,955,166","178,351,676","6.71",
"86","2","64.00","57.00","61.33","120,483","24,811,578,897","404,518,682","15.24",
"86","3","71.50","62.00","65.99","187,812","43,714,033,019","662,383,833","24.95",
"86","4","98.00","70.00","85.77","308,791","99,625,048,801","1,161,461,476","43.75",
"86","5","122.00","88.00","106.56","418,821","172,510,899,820","1,618,839,928","60.99",
"86","6","136.50","91.00","115.66","417,267","171,868,866,899","1,485,976,883","55.98",
"86","7","160.00","113.00","141.28","536,306","269,817,373,256","1,909,803,172","71.95",
"86","8","173.00","138.00","157.24","470,332","229,161,390,292","1,457,340,618","54.90",
"86","9","163.00","129.00","145.40","372,216","161,034,990,148","1,107,525,902","41.72",
"86","10","157.00","94.00","130.90","472,256","192,802,489,524","1,472,894,797","55.49",
"86","11","132.00","100.00","121.74","430,819","166,792,803,206","1,370,040,355","51.61",
"86","12","131.00","106.00","118.57","316,962","102,065,070,554","860,746,176","32.42",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

