"106年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"106","1","186.50","179.00","182.75","159,845","96,808,092,078","529,700,846","2.04",
"106","2","191.00","183.00","186.99","159,869","122,450,379,291","654,843,274","2.52",
"106","3","195.00","183.00","189.08","211,054","123,021,995,868","650,623,382","2.50",
"106","4","194.50","186.50","190.25","147,068","89,020,114,013","467,895,895","1.80",
"106","5","208.50","195.50","203.33","191,757","124,478,635,318","612,193,650","2.36",
"106","6","218.50","204.50","211.12","240,251","160,781,673,097","761,564,913","2.93",
"106","7","216.00","205.50","211.83","173,850","97,781,239,374","461,581,378","1.78",
"106","8","219.00","210.00","214.28","162,657","103,899,099,293","484,863,428","1.86",
"106","9","223.00","213.50","217.74","152,886","110,812,863,136","508,914,360","1.96",
"106","10","245.00","218.50","234.08","175,041","115,641,943,785","494,024,377","1.90",
"106","11","245.00","226.00","237.27","163,741","131,370,117,334","553,669,555","2.13",
"106","12","234.50","222.50","227.52","166,398","120,734,826,777","530,646,881","2.04",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

