"107年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"107","1","266.00","231.00","248.65","269,236","185,779,788,675","747,132,098","2.88",
"107","2","261.00","228.50","242.78","206,436","160,166,210,058","659,698,545","2.54",
"107","3","259.00","238.50","248.64","247,233","173,708,319,491","698,619,892","2.69",
"107","4","249.00","221.00","234.00","249,861","170,180,378,732","727,237,828","2.80",
"107","5","234.50","220.00","226.44","211,075","149,818,431,584","661,608,936","2.55",
"107","6","232.00","210.00","223.68","222,459","164,968,110,373","737,510,521","2.84",
"107","7","246.00","213.00","229.12","244,362","161,509,691,761","704,885,486","2.71",
"107","8","268.00","238.00","248.78","237,381","145,773,038,013","585,942,114","2.25",
"107","9","268.00","253.50","260.55","234,147","199,871,671,771","767,100,384","2.95",
"107","10","264.00","217.00","235.61","351,254","218,991,055,318","929,451,786","3.58",
"107","11","237.50","214.00","227.69","223,860","172,469,552,133","757,457,406","2.92",
"107","12","235.00","215.00","223.82","205,496","144,769,788,728","646,807,827","2.49",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

