"104年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"104","1","147.00","130.00","138.63","322,958","146,324,749,070","1,055,454,351","4.07",
"104","2","154.50","140.50","147.50","153,494","79,808,974,551","541,074,993","2.08",
"104","3","155.00","142.00","147.87","337,630","173,100,420,702","1,170,613,706","4.51",
"104","4","153.50","141.50","146.34","317,128","150,342,745,075","1,027,344,911","3.96",
"104","5","149.00","144.50","146.59","158,603","80,216,765,877","547,191,515","2.11",
"104","6","147.50","138.00","142.27","243,071","110,429,419,199","776,190,206","2.99",
"104","7","142.50","134.00","138.17","218,148","103,731,430,456","750,709,967","2.89",
"104","8","138.50","112.50","125.74","306,610","137,376,318,375","1,092,513,062","4.21",
"104","9","131.50","122.00","127.39","216,780","88,230,392,080","692,552,450","2.67",
"104","10","141.00","129.50","136.49","213,314","100,598,410,950","737,037,087","2.84",
"104","11","144.50","134.00","139.68","213,479","102,009,133,522","730,276,711","2.81",
"104","12","145.00","137.50","141.81","199,043","93,565,509,442","659,769,609","2.54",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

