"88年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"88","1","91.00","68.00","82.55","321,601","86,209,722,790","1,044,265,678","17.26",
"88","2","89.50","77.50","83.55","140,446","35,450,504,904","424,275,886","7.01",
"88","3","111.00","84.00","99.18","292,186","91,192,168,391","919,396,004","15.20",
"88","4","121.00","103.50","114.43","276,812","99,704,891,344","871,243,232","14.40",
"88","5","123.00","102.00","113.41","241,824","87,165,504,907","768,541,515","12.70",
"88","6","145.50","114.00","127.75","434,051","166,433,390,994","1,302,769,751","21.54",
"88","7","128.50","107.00","118.68","327,656","109,247,283,484","920,499,884","15.22",
"88","8","136.50","101.00","124.77","393,665","138,073,928,984","1,106,550,567","14.65",
"88","9","143.00","126.00","137.29","232,395","98,774,869,641","719,415,877","9.53",
"88","10","147.00","128.50","137.39","181,273","70,536,598,259","513,399,761","6.80",
"88","11","159.00","139.00","149.54","201,813","86,156,927,519","576,138,378","7.63",
"88","12","171.00","144.00","153.36","180,643","82,185,638,753","535,885,401","6.98",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

