"96年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"96","1","71.70","64.00","68.45","243,188","85,354,726,872","1,246,862,002","4.82",
"96","2","70.10","65.80","68.02","93,497","40,546,701,161","596,051,996","2.30",
"96","3","70.80","63.30","66.46","196,734","130,076,794,159","1,956,992,346","7.57",
"96","4","70.50","67.20","68.67","124,181","51,851,414,257","755,004,403","2.92",
"96","5","69.60","66.30","68.10","168,504","73,560,774,451","1,080,128,390","4.18",
"96","6","71.00","63.90","67.94","253,750","105,099,145,511","1,546,891,387","5.98",
"96","7","73.10","63.10","68.99","311,568","108,042,852,942","1,566,033,576","5.92",
"96","8","64.50","58.60","61.73","310,876","94,502,569,004","1,530,745,468","5.79",
"96","9","63.90","60.30","61.83","139,097","46,657,466,223","754,603,466","2.85",
"96","10","65.60","59.60","62.98","237,381","81,069,511,994","1,287,033,654","4.87",
"96","11","64.40","57.40","61.04","231,334","88,000,624,813","1,441,621,102","5.45",
"96","12","63.50","58.60","60.71","191,428","105,404,992,210","1,735,968,314","6.56",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

