"91年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"91","1","93.00","82.50","88.91","291,595","95,149,390,142","1,070,115,844","9.15",
"91","2","89.00","80.00","84.29","110,913","34,616,822,701","410,645,887","3.51",
"91","3","97.50","81.00","92.53","247,892","90,991,528,012","983,277,007","8.41",
"91","4","97.50","87.00","92.28","194,657","62,880,196,627","681,338,379","5.82",
"91","5","90.50","80.00","85.54","161,418","56,262,020,275","657,654,308","5.62",
"91","6","85.00","66.00","73.63","250,100","70,673,023,039","959,807,474","8.21",
"91","7","71.50","50.00","60.83","358,017","83,310,764,715","1,369,393,479","7.35",
"91","8","55.50","43.70","50.81","264,324","51,851,474,990","1,020,328,062","5.47",
"91","9","51.00","40.00","45.29","223,644","38,860,626,664","857,889,611","4.60",
"91","10","47.60","34.90","41.80","431,526","76,215,258,326","1,823,216,129","9.79",
"91","11","52.50","45.00","48.95","312,390","66,607,348,710","1,360,599,424","7.30",
"91","12","54.00","42.50","48.72","206,663","42,637,491,207","875,111,956","4.69",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

