"114年12月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","註記",
"114/12/01","33,722,188","47,998,505,254","1,445.00","1,445.00","1,410.00","1,410.00","-30.00","102,798","",
"114/12/02","27,923,064","39,916,596,995","1,430.00","1,440.00","1,420.00","1,430.00","+20.00","34,886","",
"114/12/03","25,462,840","36,775,822,053","1,440.00","1,450.00","1,435.00","1,450.00","+20.00","32,546","",
"114/12/04","21,934,952","31,600,541,870","1,445.00","1,450.00","1,430.00","1,445.00","-5.00","44,721","",
"114/12/05","22,539,737","32,677,962,256","1,445.00","1,460.00","1,440.00","1,460.00","+15.00","35,327","",
"114/12/08","27,405,663","40,634,878,504","1,465.00","1,495.00","1,460.00","1,495.00","+35.00","65,198","",
"114/12/09","27,555,343","40,931,363,559","1,495.00","1,500.00","1,480.00","1,480.00","-15.00","47,501","",
"114/12/10","26,387,641","39,493,603,134","1,490.00","1,505.00","1,485.00","1,505.00","+25.00","53,469","",
"114/12/11","31,820,417","47,234,941,277","1,510.00","1,515.00","1,465.00","1,470.00","X0.00","107,208","",
"114/12/12","24,025,183","35,489,107,425","1,475.00","1,485.00","1,470.00","1,480.00","+10.00","41,662","",
"114/12/15","28,160,888","40,860,472,555","1,450.00","1,455.00","1,445.00","1,450.00","-30.00","92,871","",
"114/12/16","36,751,412","52,683,827,934","1,435.00","1,445.00","1,425.00","1,435.00","-15.00","151,564","",
"114/12/17","33,103,549","47,488,282,612","1,435.00","1,445.00","1,425.00","1,430.00","-5.00","81,434","",
"114/12/18","33,103,697","47,179,906,765","1,420.00","1,435.00","1,415.00","1,430.00"," 0.00","74,330","",
"114/12/19","42,614,140","61,256,957,568","1,455.00","1,455.00","1,430.00","1,430.00"," 0.00","46,795","",
"114/12/22","23,919,483","34,974,497,115","1,465.00","1,470.00","1,455.00","1,465.00","+35.00","38,482","",
"114/12/23","22,337,117","33,151,333,901","1,475.00","1,490.00","1,470.00","1,490.00","+25.00","50,811","",
"114/12/24","13,707,427","20,441,056,275","1,495.00","1,500.00","1,485.00","1,495.00","+5.00","35,055","",
"114/12/26","20,806,344","31,326,715,665","1,505.00","1,510.00","1,495.00","1,510.00","+15.00","57,478","",
"114/12/29","24,010,398","36,576,386,420","1,515.00","1,530.00","1,510.00","1,530.00","+20.00","68,156","",
"114/12/30","21,819,219","33,198,645,416","1,515.00","1,530.00","1,510.00","1,520.00","-10.00","44,833","",
"114/12/31","31,389,568","48,402,721,875","1,520.00","1,550.00","1,515.00","1,550.00","+30.00","60,286","",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"註記欄位有**者，表示該股票恢復買賣日價格因辦理變更面額因素與其最近一成交日價格有一定比例之轉換關係，或表示該ETF恢復買賣日價格因辦理分割或反分割作業因素與其最近一成交日價格有一定比例之轉換關係。"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

