"105年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"105","1","143.50","130.50","136.21","252,531","118,349,995,143","868,856,704","3.35",
"105","2","152.50","141.50","147.26","171,869","82,189,683,828","558,111,346","2.15",
"105","3","163.00","148.50","156.15","244,951","118,717,985,490","760,245,060","2.93",
"105","4","162.50","149.00","156.17","206,696","106,674,789,441","683,043,417","2.63",
"105","5","158.00","143.00","149.27","233,692","126,649,596,856","848,403,673","3.27",
"105","6","166.00","154.00","161.01","238,582","118,679,639,831","737,051,479","2.84",
"105","7","177.00","160.50","169.39","231,411","117,478,777,803","693,505,047","2.67",
"105","8","179.50","171.50","175.84","164,808","90,437,639,973","514,306,014","1.98",
"105","9","187.50","173.00","180.01","200,367","115,994,014,239","644,363,738","2.48",
"105","10","193.00","184.50","188.30","162,381","97,278,344,232","516,586,533","1.99",
"105","11","190.50","179.00","183.42","202,224","117,075,406,639","638,282,043","2.46",
"105","12","187.50","178.00","182.06","195,172","99,158,788,765","544,625,080","2.10",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

